old,new
γενναιωτατων,γενναιοτατων
γυναικαν,γυναικα
γεωργος,γεωργου
μισθωτης,μισθωτου
αξιωθις,αξιωθεις
γεωργο,γεωργος
μισθιο,μισθιος
τον θειον,τον θειον
ευρηθηναι,ευρεθηναι
ευρηθειη,ευρεθειη
επηρτημμενω,επηρτημενω
τουτω,τουτου
εγγυο͂μαι,εγγυωμαι
ιωαννο,ιωαννης
ιωαννο,ιωαννης
ομοσαμεν,ωμοσαμεν
παρ,παρα
αλωησεως,αλοησεως
τουτον,τουτων
γεωργως,γεωργος
συμφονει,συμφωνει
αξιοθεις,αξιωθεις
ιδοτης,ειδοτος
μοι,μη
οφιλη,οφειλη
σεμνιον,σεμνειον
αγιοτατη,αγιωτατη
ηνεωγμενο,ανεωγμενον
απηλειωτην,απηλιωτην
δομουσθαι,δομεισθαι
αμφ’εβαλλετε,αμφιεβαλλετε
ωμνυς,ομνυς
"*,","*,"
ενταγι,ενταγι
ωμολογησα.,ωμολογησα.
πιθωμαι,πειθομαι
τω,το
δε,τε
καθ’,κατʼ
ανηνεχθεισαν,ανενεχθεισαν
προσημανθεισαν,προσημανθεισης
δε,τε
ωφειλεται,οφειληται
"*,","*,"
ενταγι,ενταγι
ωμολογησα.,ωμολογησα.
πιθωμαι,πειθομαι
τω,το
δε,τε
καθ’,κατʼ
ανηνεχθεισαν,ανενεχθεισαν
προσημανθεισαν,προσημανθεισης
δε,τε
ωφειλεται,οφειληται
καθ’,κατʼ
καρηοτων,καρυωτων
σεκουντινου,σεκουνδινου
τρις,τρεις
αλλεληγγυης,αλληλεγγυης
εννατης,ενατης
καθʼ,κατʼ
αγγια,αγγεια
ξεστω,ξεστων
εθειμα,εθιμα
εν,εις
εννατης,ενατης
προκορατορος,προκουρατορος
προκορατορος,προκουρατορος
ημων,υμων
ημιν,υμιν
φοιβαμμων,φοιβαμμωνος
.,.
αυρηλιων,αυρηλιοι
ο,οι
πεκυσιου,πεκυσιος
αλλεληγγυης,αλληλεγγυης
δικαιων,δικαιοις
μονης,μονη
ημων,υμων
προγωνου,προγονου
καθʼ,κατʼ
προγωνου,προγονου
αυτον,αυτο
βορινον,βορεινον
καθʼ,κατʼ
δισχειλια,δισχιλια
εννατης,ενατης
αγιοσυνη,αγιωσυνη
ειτοτος,ειδοτος
εποικειω,εποικιω
χειραν,χειρα
εθεμεν,εθεμην
χειρογραφειαν,χειρογραφιαν
ομοσα,ωμοσα
χειρογραφεια,χειρογραφια
τρισκαιδεκατης,τρεισκαιδεκατης
αρτευσεως,αρδευσεως
πεττακιον,πιττακιον
ειδωτος,ειδοτος
εκβολην,εκβολης
τα,της
ενεχθεισης,ενεχθεισας
επιστολμα,επισταλμα
καθʼ,κατʼ
θεραπενιδας,θεραπαινιδας
ευτακτης,ευτακτου
αρραδιουργητως,αραδιουργητως
προωνομασθεισων,προονομασθεισων
θεραπενιδας,θεραπαινιδας
ευτακτης,ευτακτου
αρραδιουργητως,αραδιουργητως
προωνομασθεισων,προονομασθεισων
συνεκεσιω,συνοικεσιω
σεναφθηναι,συναφθηναι
μοναστηριων,μοναστηριον
μονιρυ,μονηρη
εξελλαχθαι,εξηλλαχθαι
κοληοντος,κωλυοντος
αναξαι,εναξαι
δικαστηριων,δικαστηριω
εδνον,εδνων
λογου,λογω
εθημεν,εθεμην
ισακιου,ισακιος
προκεμενος,προκειμενος
μεν,μοι
περηλυσιν,περιλυσιν
τουτον,ταυτην
τον,την
το,την
τε,δε
βιων,βιον
των,τον
ενηκοντος,ανηκοντος
εντειλομεν,εντελλομεν
καλεσαι,καλεση
δανισασθαι,δανεισασθαι
κατʼ,καθʼ
ακκοπην,εκκοπην
διδομει,διδωμι
εννατης,ενατης
σης,ση
της,τη
εννατης,ενατης
σαραπαμωνος,σαραπαμμωνος
ανυδρον,ανυδρου
γεωργησιν,γεωργησειν
εργασειαν,εργασιαν
ερεισθε,αιρεισθε
βελεσαριου,βελισαριου
τω,ω
εγγυο͂μαι,εγγυωμαι
εκαστους,εκαστου
ενεχομενους,ενεχομενου
συναλαγματι,συναλλαγματι
ζητουμενον,ζητουμενος
φρεαδος,φρεατος
.,.
εγγραψα,εγραψα
ειη,ειην
θιον,θειον
